agent,trial,episode,cumulativeReward,averageReward,cumulativeSteps,numSteps
Q-Learning,0,0,-51.22999999999639,-0.008365447419986346,6124.0,6124.0
Q-Learning,0,1,-77.52999999999773,-0.0072431836959519,9755.0,3631.0
Q-Learning,0,2,-76.66999999999757,9.39890710382678E-4,10670.0,915.0
Q-Learning,0,3,-90.94999999999857,-0.005878962536023465,13099.0,2429.0
Q-Learning,0,4,-93.94999999999834,-0.0023059185242119656,14400.0,1301.0
Q-Learning,0,5,-87.38999999999831,0.019014492753623272,14745.0,345.0
Q-Learning,0,6,-84.3499999999982,0.0043615494978480685,15442.0,697.0
Q-Learning,0,7,-81.69999999999808,0.0036005434782610223,16178.0,736.0
Q-Learning,0,8,-77.859999999998,0.0062236628849272075,16795.0,617.0
Q-Learning,0,9,-79.2699999999978,-0.0012346760070050798,17937.0,1142.0
Q-Learning,0,10,-88.26999999999796,-0.0047343503419253925,19838.0,1901.0
Q-Learning,0,11,-111.74999999999987,-0.007011048074052526,23187.0,3349.0
Q-Learning,0,12,-107.1999999999998,0.008333333333333465,23733.0,546.0
Q-Learning,0,13,-101.26999999999975,0.0145343137254903,24141.0,408.0
Q-Learning,0,14,-99.62999999999963,0.001959378733572442,24978.0,837.0
Q-Learning,0,15,-91.97999999999962,0.03241525423728816,25214.0,236.0
Q-Learning,0,16,-93.59999999999941,-0.0013929492691313816,26377.0,1163.0
Q-Learning,0,17,-85.9699999999994,0.03205882352941179,26615.0,238.0
Q-Learning,0,18,-79.49999999999937,0.018276836158192176,26969.0,354.0
Q-Learning,0,19,-71.23999999999938,0.04719999999999999,27144.0,175.0
Q-Learning,0,20,-65.19999999999935,0.015214105793450982,27541.0,397.0
Q-Learning,0,21,-57.539999999999345,0.03259574468085109,27776.0,235.0
Q-Learning,0,22,-53.65999999999926,0.00632952691680275,28389.0,613.0
Q-Learning,0,23,-48.109999999999204,0.01244394618834092,28835.0,446.0
Q-Learning,0,24,-40.549999999999194,0.03085714285714289,29080.0,245.0
Q-Learning,0,25,-32.579999999999195,0.03906862745098039,29284.0,204.0
Q-Learning,0,26,-26.819999999999148,0.013552941176470696,29709.0,425.0
Q-Learning,0,27,-21.349999999999095,0.01204845814977985,30163.0,454.0
Q-Learning,0,28,-12.989999999999096,0.050666666666666665,30328.0,165.0
Q-Learning,0,29,-6.059999999999075,0.02250000000000007,30636.0,308.0
Q-Learning,0,30,0.9000000000009454,0.02281967213114761,30941.0,305.0
Q-Learning,0,31,5.070000000001025,0.007140410958904247,31525.0,584.0
Q-Learning,0,32,11.570000000001055,0.018518518518518604,31876.0,351.0
Q-Learning,0,33,16.430000000001122,0.009436893203883622,32391.0,515.0
Q-Learning,0,34,13.520000000001353,-0.00225232198142397,33683.0,1292.0
Q-Learning,0,35,14.490000000001501,0.001073008849557686,34587.0,904.0
Q-Learning,0,36,22.5900000000015,0.04240837696335077,34778.0,191.0
Q-Learning,0,37,28.260000000001547,0.013064516129032368,35212.0,434.0
Q-Learning,0,38,33.20000000000161,0.009743589743589869,35719.0,507.0
Q-Learning,0,39,39.28000000000165,0.015470737913486104,36112.0,393.0
Q-Learning,0,40,45.03000000000169,0.013497652582159732,36538.0,426.0
Q-Learning,0,41,51.28000000000173,0.01662234042553201,36914.0,376.0
Q-Learning,0,42,59.09000000000173,0.03550000000000001,37134.0,220.0
Q-Learning,0,43,66.57000000000174,0.029565217391304386,37387.0,253.0
Q-Learning,0,44,71.45000000000181,0.009512670565302271,37900.0,513.0
Q-Learning,0,45,77.06000000000185,0.012750000000000112,38340.0,440.0
Q-Learning,0,46,79.02000000000197,0.00243478260869581,39145.0,805.0
Q-Learning,0,47,86.80000000000197,0.03488789237668163,39368.0,223.0
